reservoir,thai_year,month,outflow,level_end
DK,2543,5,32.0548,56.74
DK,2543,6,10.7752,67.8
DK,2543,7,48.5497,54.58
DK,2543,8,22.2507,48.82
DK,2543,9,7.7439,51.14
DK,2543,10,4.2377,74.0
DK,2543,11,22.0435,71.82
DK,2543,12,5.7406,69.6
DK,2544,1,4.5098,67.3
DK,2544,2,4.112,63.4
DK,2544,3,4.6493,70.5
DK,2544,4,12.6084,72.24
DK,2544,5,50.4993,65.7
DK,2544,6,35.7347,53.22
DK,2544,7,10.8538,51.62
DK,2544,8,21.0001,50.5
DK,2544,9,11.7923,50.42
DK,2544,10,16.0131,76.2
DK,2544,11,42.8949,72.8
DK,2544,12,5.6621,72.1
DK,2545,1,9.9529,64.7
DK,2545,2,6.8042,58.66
DK,2545,3,5.5694,53.7
DK,2545,4,8.8962,50.1
DK,2545,5,7.8092,54.58
DK,2545,6,8.3898,55.7
DK,2545,7,14.15,49.46
DK,2545,8,7.2361,47.22
DK,2545,9,5.1556,51.54
DK,2545,10,9.7986,70.0
DK,2545,11,58.8968,72.8
DK,2545,12,12.8966,71.68
DK,2546,1,10.6121,64.7
DK,2546,2,6.2615,60.34
DK,2546,3,7.0568,60.22
DK,2546,4,8.1145,57.34
DK,2546,5,11.5378,57.46
DK,2546,6,11.8919,64.5
DK,2546,7,27.7758,53.3
DK,2546,8,15.5952,54.5
DK,2546,9,22.8932,58.18
DK,2546,10,23.6787,72.24
DK,2546,11,14.2446,70.0
DK,2546,12,9.6477,63.5
DK,2547,1,7.8049,57.34
DK,2547,2,8.0523,52.58
DK,2547,3,8.1524,46.74
DK,2547,4,9.0374,40.18
DK,2547,5,6.2533,41.9
DK,2547,6,6.1302,55.86
DK,2547,7,9.6508,54.74
DK,2547,8,16.5994,50.74
DK,2547,9,6.4493,54.98
DK,2547,10,7.4094,68.1
DK,2547,11,16.9962,56.18
DK,2547,12,13.3293,45.7
DK,2548,1,7.3364,39.14
DK,2548,2,7.1998,31.92
DK,2548,3,8.2784,25.02
DK,2548,4,7.6084,20.42
DK,2548,5,7.6578,15.56
DK,2548,6,7.5668,9.58
DK,2548,7,5.6539,7.38
DK,2548,8,4.0708,6.7
DK,2548,9,4.7489,23.58
DK,2548,10,6.3888,43.66
DK,2548,11,7.3057,61.06
DK,2548,12,8.3177,63.7
DK,2549,1,9.9461,56.74
DK,2549,2,9.4733,54.26
DK,2549,3,11.8009,48.66
DK,2549,4,10.7197,50.82
DK,2549,5,8.7564,61.9
DK,2549,6,12.828,67.3
DK,2549,7,40.4641,61.78
DK,2549,8,12.4253,56.74
DK,2549,9,16.3164,67.0
DK,2549,10,20.9093,70.6
DK,2549,11,8.4712,69.9
DK,2549,12,8.3195,65.3
DK,2550,1,10.567,58.18
DK,2550,2,9.1565,51.7
DK,2550,3,10.2666,43.9
DK,2550,4,8.1943,40.9
DK,2550,5,7.0799,49.94
DK,2550,6,8.0784,57.82
DK,2550,7,21.3426,62.26
DK,2550,8,19.382,59.14
DK,2550,9,11.0674,60.22
DK,2550,10,9.108,64.7
DK,2550,11,10.6164,58.06
DK,2550,12,9.8064,50.58
DK,2551,1,10.6481,41.1
DK,2551,2,8.7533,33.64
DK,2551,3,8.2326,26.64
DK,2551,4,5.9165,25.86
DK,2551,5,5.4003,29.8
DK,2551,6,4.8217,36.32
DK,2551,7,4.5258,49.78
DK,2551,8,4.9033,54.18
DK,2551,9,17.3389,67.9
DK,2551,10,40.7995,78.8
DK,2551,11,51.577,73.6
DK,2551,12,12.8587,68.4
DK,2552,1,13.3522,61.06
DK,2552,2,11.5281,54.34
DK,2552,3,14.4525,53.54
DK,2552,4,20.2125,56.98
DK,2552,5,34.8709,68.3
DK,2552,6,51.9452,49.7
DK,2552,7,15.9921,50.26
DK,2552,8,10.7028,49.14
DK,2552,9,7.2725,56.18
DK,2552,10,65.721,74.4
DK,2552,11,24.3991,71.54
DK,2552,12,21.8441,61.9
DK,2553,1,8.8795,54.82
DK,2553,2,7.3304,52.74
DK,2553,3,9.1953,46.1
DK,2553,4,9.0817,40.8
DK,2553,5,13.5255,41.9
DK,2553,6,10.986,45.14
DK,2553,7,8.893,51.38
DK,2553,8,13.6915,54.34
DK,2553,9,26.4517,65.7131
DK,2553,10,47.6157,73.177
DK,2553,11,19.2061,68.6812
DK,2553,12,15.2769,58.8439
DK,2554,1,20.0805,47.7234
DK,2554,2,8.7656,41.6308
DK,2554,3,9.8424,38.4415
DK,2554,4,9.3921,47.6386
DK,2554,5,9.6373,51.5559
DK,2554,6,9.299,57.3933
DK,2554,7,18.7338,49.1803
DK,2554,8,9.4997,56.4392
DK,2554,9,22.3816,69.6525
DK,2554,10,55.3194,73.5138
DK,2554,11,18.6701,71.9519
DK,2554,12,23.2194,60.914
DK,2555,1,28.6756,47.6386
DK,2555,2,11.9067,44.006
DK,2555,3,10.9943,37.7056
DK,2555,4,10.2404,35.1307
DK,2555,5,10.5209,41.4753
DK,2555,6,10.6118,37.7056
DK,2555,7,13.4308,31.2285
DK,2555,8,12.4678,23.5997
DK,2555,9,6.9584,31.9445
DK,2555,10,5.029,63.9508
DK,2555,11,8.212,74.5307
DK,2555,12,14.6533,71.29
DK,2556,1,11.6731,63.336
DK,2556,2,10.4953,55.2144
DK,2556,3,11.2249,46.9642
DK,2556,4,9.9999,42.7291
DK,2556,5,5.5679,43.3647
DK,2556,6,7.8887,43.6045
DK,2556,7,10.0719,39.7889
DK,2556,8,11.2307,38.664
DK,2556,9,10.5419,42.0993
DK,2556,10,74.9554,77.4089
DK,2556,11,42.4017,75.3287
DK,2556,12,9.5562,68.4664
DK,2557,1,11.3416,59.0391
DK,2557,2,9.8894,50.5789
DK,2557,3,11.5658,39.1116
DK,2557,4,10.3831,31.0347
DK,2557,5,5.3315,31.1638
DK,2557,6,7.6085,27.5492
DK,2557,7,8.0836,20.4749
DK,2557,8,4.564,29.3852
DK,2557,9,4.7165,39.1865
DK,2557,10,9.7833,55.4017
DK,2557,11,11.815,60.2189
DK,2557,12,15.6678,49.3537
DK,2558,1,15.0267,36.8343
DK,2558,2,12.179,25.4411
DK,2558,3,7.2775,20.1291
DK,2558,4,4.7504,18.878
DK,2558,5,5.5312,24.7053
DK,2558,6,5.226,30.9702
DK,2558,7,6.9461,28.336
DK,2558,8,8.6559,23.6542
DK,2558,9,6.9737,47.385
DK,2558,10,7.2126,75.4433
DK,2558,11,16.6372,73.065
DK,2558,12,15.8908,65.1917
DK,2559,1,17.7293,52.0941
DK,2559,2,16.011,37.4137
DK,2559,3,9.4227,28.7652
DK,2559,4,8.1739,21.331
DK,2559,5,8.1882,13.7967
DK,2559,6,4.8359,11.433
DK,2559,7,3.8181,17.2288
DK,2559,8,3.714,20.4252
DK,2559,9,2.4669,31.0347
DK,2559,10,4.8508,56.915
DK,2559,11,5.5674,72.8414
DK,2559,12,9.8325,67.5054
DK,2560,1,8.518,67.1869
DK,2560,2,11.3298,59.2347
DK,2560,3,13.7703,49.6145
DK,2560,4,16.045,48.4909
DK,2560,5,13.0623,56.8196
DK,2560,6,8.6551,59.7255
DK,2560,7,15.1903,62.9282
DK,2560,8,23.6015,53.5475
DK,2560,9,5.7026,71.4
DK,2560,10,39.8917,76.9431
DK,2560,11,11.677,73.8516
DK,2560,12,6.4237,70.4137
DK,2561,1,6.443,68.1452
DK,2561,2,9.5639,62.7249
DK,2561,3,28.5496,50.7556
DK,2561,4,9.326,54.9343
DK,2561,5,33.4298,52.3646
DK,2561,6,18.7201,49.0073
DK,2561,7,6.5632,48.4787
DK,2561,8,9.1232,44.7344
DK,2561,9,7.6756,62.0167
DK,2561,10,40.623,78.7
DK,2561,11,17.1574,79.0547
DK,2561,12,9.013,76.711
DK,2562,1,13.9463,65.0877
DK,2562,2,12.5276,54.8411
DK,2562,3,15.0205,41.553
DK,2562,4,13.2764,30.7133
DK,2562,5,8.4787,26.5995
DK,2562,6,5.7523,29.9501
DK,2562,7,8.2573,26.2486
DK,2562,8,6.1446,22.3152
DK,2562,9,4.1996,24.4816
DK,2562,10,4.0948,35.2706
DK,2562,11,3.2727,36.4751
DK,2562,12,3.6712,34.3671
DK,2563,1,6.12,30.1398
DK,2563,2,9.0179,22.2102
DK,2563,3,8.58,14.5764
DK,2563,4,6.9119,11.7026
DK,2563,5,6.61,15.635
DK,2563,6,7.5447,23.2203
DK,2563,7,4.1387,40.934
DK,2563,8,2.2112,50.5789
KY,2537,1,,
KY,2537,2,,
KY,2537,3,,
KY,2537,4,,
KY,2537,5,,
KY,2537,6,,
KY,2537,7,,
KY,2537,8,,
KY,2537,9,,
KY,2537,10,,
KY,2537,11,,
KY,2537,12,,
KY,2538,1,,
KY,2538,2,,
KY,2538,3,,
KY,2538,4,,
KY,2538,5,,
KY,2538,6,,
KY,2538,7,,
KY,2538,8,,
KY,2538,9,,
KY,2538,10,,
KY,2538,11,,
KY,2538,12,,
KY,2539,1,,
KY,2539,2,,
KY,2539,3,,
KY,2539,4,,
KY,2539,5,,
KY,2539,6,,
KY,2539,7,,
KY,2539,8,,
KY,2539,9,,
KY,2539,10,,
KY,2539,11,,
KY,2539,12,,
KY,2540,1,,
KY,2540,2,,
KY,2540,3,,
KY,2540,4,,
KY,2540,5,,
KY,2540,6,,
KY,2540,7,,
KY,2540,8,,
KY,2540,9,,
KY,2540,10,,
KY,2540,11,,
KY,2540,12,,
KY,2541,1,,
KY,2541,2,,
KY,2541,3,,
KY,2541,4,,
KY,2541,5,,
KY,2541,6,,
KY,2541,7,,
KY,2541,8,,
KY,2541,9,,
KY,2541,10,,
KY,2541,11,,
KY,2541,12,,
KY,2542,1,,
KY,2542,2,,
KY,2542,3,,
KY,2542,4,,
KY,2542,5,,
KY,2542,6,,
KY,2542,7,,
KY,2542,8,,
KY,2542,9,,
KY,2542,10,,
KY,2542,11,,
KY,2542,12,,
KY,2543,1,,
KY,2543,2,,
KY,2543,3,,
KY,2543,4,,
KY,2543,5,,
KY,2543,6,,
KY,2543,7,,
KY,2543,8,,
KY,2543,9,,
KY,2543,10,,
KY,2543,11,,
KY,2543,12,,
KY,2544,1,,
KY,2544,2,,
KY,2544,3,,
KY,2544,4,,
KY,2544,5,,
KY,2544,6,,
KY,2544,7,,
KY,2544,8,,
KY,2544,9,,
KY,2544,10,,
KY,2544,11,,
KY,2544,12,,
KY,2545,1,,
KY,2545,2,,
KY,2545,3,,
KY,2545,4,,
KY,2545,5,,
KY,2545,6,,
KY,2545,7,,
KY,2545,8,,
KY,2545,9,,
KY,2545,10,,
KY,2545,11,,
KY,2545,12,,
KY,2546,1,,
KY,2546,2,,
KY,2546,3,,
KY,2546,4,,
KY,2546,5,,
KY,2546,6,,
KY,2546,7,,
KY,2546,8,,
KY,2546,9,,
KY,2546,10,,
KY,2546,11,,
KY,2546,12,,
KY,2547,1,,
KY,2547,2,,
KY,2547,3,,
KY,2547,4,,
KY,2547,5,,
KY,2547,6,,
KY,2547,7,,
KY,2547,8,,
KY,2547,9,,
KY,2547,10,,
KY,2547,11,,
KY,2547,12,,
KY,2548,1,,
KY,2548,2,,
KY,2548,3,,
KY,2548,4,,
KY,2548,5,,
KY,2548,6,,
KY,2548,7,,
KY,2548,8,,
KY,2548,9,0.3071,15.0
KY,2548,10,0.9684,32.938
KY,2548,11,10.5185,40.9004
KY,2548,12,7.4554,41.167
KY,2549,1,6.0209,36.2242
KY,2549,2,1.521,34.3505
KY,2549,3,7.255,33.2378
KY,2549,4,5.7329,34.3505
KY,2549,5,7.9719,40.3668
KY,2549,6,15.768,35.2791
KY,2549,7,4.5529,35.4876
KY,2549,8,2.702,36.3302
KY,2549,9,17.2761,42.0651
KY,2549,10,14.5338,40.0564
KY,2549,11,3.2018,39.4958
KY,2549,12,4.3271,36.2242
KY,2550,1,3.8555,31.5659
KY,2550,2,4.1377,28.4819
KY,2550,3,4.2061,26.2839
KY,2550,4,7.5335,25.1039
KY,2550,5,14.0903,35.0713
KY,2550,6,14.2756,41.1672
KY,2550,7,18.5927,41.1672
KY,2550,8,15.6957,36.6496
KY,2550,9,16.8876,36.1183
KY,2550,10,56.2154,35.8021
KY,2550,11,2.5401,32.4439
KY,2550,12,4.3831,28.5722
KY,2551,1,7.7716,23.3218
KY,2551,2,7.0936,19.8011
KY,2551,3,7.3484,16.7174
KY,2551,4,6.2454,16.8443
KY,2551,5,1.1228,22.5404
KY,2551,6,1.6053,29.5789
KY,2551,7,1.4472,35.4876
KY,2551,8,1.349,27.6771
KY,2551,9,1.1158,40.0263
KY,2551,10,10.7986,41.5241
KY,2551,11,8.3681,40.0742
KY,2551,12,4.4191,38.8264
KY,2552,1,6.0997,34.6582
KY,2552,2,6.1936,28.6638
KY,2552,3,7.0589,29.9508
KY,2552,4,21.4851,28.9356
KY,2552,5,22.3632,30.7988
KY,2552,6,29.4837,29.5789
KY,2552,7,28.425,23.8794
KY,2552,8,7.9539,22.54
KY,2552,9,3.4682,41.8848
KY,2552,10,31.473,40.6336
KY,2552,11,4.7544,40.0885
KY,2552,12,7.3914,34.3505
KY,2553,1,6.4833,32.3455
KY,2553,2,3.7133,30.42
KY,2553,3,3.0021,28.2119
KY,2553,4,6.1436,27.0617
